key: 666 	color: BLACK	rank: 40	size: 60	parent: NIL 	lchild: 446 	rchild: 869 
key: 497 	color: RED  	rank: 27	size: 1 	parent: 494 	lchild: NIL 	rchild: NIL 
key: 526 	color: BLACK	rank: 29	size: 1 	parent: 504 	lchild: NIL 	rchild: NIL 
key: 584 	color: BLACK	rank: 34	size: 9 	parent: 528 	lchild: 542 	rchild: 619 
key: 542 	color: BLACK	rank: 32	size: 3 	parent: 584 	lchild: 538 	rchild: 583 
key: 538 	color: RED  	rank: 31	size: 1 	parent: 542 	lchild: NIL 	rchild: NIL 
key: 583 	color: RED  	rank: 33	size: 1 	parent: 542 	lchild: NIL 	rchild: NIL 
key: 619 	color: RED  	rank: 36	size: 5 	parent: 584 	lchild: 600 	rchild: 645 
key: 600 	color: BLACK	rank: 35	size: 1 	parent: 619 	lchild: NIL 	rchild: NIL 
key: 645 	color: BLACK	rank: 38	size: 3 	parent: 619 	lchild: 639 	rchild: 650 
key: 639 	color: RED  	rank: 37	size: 1 	parent: 645 	lchild: NIL 	rchild: NIL 
key: 650 	color: RED  	rank: 39	size: 1 	parent: 645 	lchild: NIL 	rchild: NIL 
key: 869 	color: BLACK	rank: 52	size: 20	parent: 666 	lchild: 763 	rchild: 893 
key: 763 	color: BLACK	rank: 46	size: 11	parent: 869 	lchild: 751 	rchild: 831 
key: 751 	color: RED  	rank: 44	size: 5 	parent: 763 	lchild: 694 	rchild: 759 
key: 694 	color: BLACK	rank: 42	size: 3 	parent: 751 	lchild: 676 	rchild: 711 
key: 676 	color: RED  	rank: 41	size: 1 	parent: 694 	lchild: NIL 	rchild: NIL 
key: 711 	color: RED  	rank: 43	size: 1 	parent: 694 	lchild: NIL 	rchild: NIL 
key: 759 	color: BLACK	rank: 45	size: 1 	parent: 751 	lchild: NIL 	rchild: NIL 
key: 831 	color: RED  	rank: 48	size: 5 	parent: 763 	lchild: 816 	rchild: 863 
key: 816 	color: BLACK	rank: 47	size: 1 	parent: 831 	lchild: NIL 	rchild: NIL 
key: 863 	color: BLACK	rank: 50	size: 3 	parent: 831 	lchild: 859 	rchild: 866 
key: 859 	color: RED  	rank: 49	size: 1 	parent: 863 	lchild: NIL 	rchild: NIL 
key: 866 	color: RED  	rank: 51	size: 1 	parent: 863 	lchild: NIL 	rchild: NIL 
key: 893 	color: BLACK	rank: 56	size: 8 	parent: 869 	lchild: 875 	rchild: 962 
key: 875 	color: RED  	rank: 54	size: 3 	parent: 893 	lchild: 870 	rchild: 883 
key: 870 	color: BLACK	rank: 53	size: 1 	parent: 875 	lchild: NIL 	rchild: NIL 
key: 883 	color: BLACK	rank: 55	size: 1 	parent: 875 	lchild: NIL 	rchild: NIL 
key: 962 	color: RED  	rank: 59	size: 4 	parent: 893 	lchild: 937 	rchild: 997 
key: 937 	color: BLACK	rank: 58	size: 2 	parent: 962 	lchild: 928 	rchild: NIL 
key: 928 	color: RED  	rank: 57	size: 1 	parent: 937 	lchild: NIL 	rchild: NIL 
key: 997 	color: BLACK	rank: 60	size: 1 	parent: 962 	lchild: NIL 	rchild: NIL 
